"","Store_Name","Name","Address","City","State","Zip","Manager","Telephone","Monday_Open","Monday_Close","Tuesday_Open","Tuesday_Close","Wednesday_Open","Wednesday_Close","Thursday_Open","Thursday_Close","Friday_Open","Friday_Close","Saturday_Open","Saturday_Close","Sunday_Open","Sunday_Close","Image_URL","URL"
"1","Bloomingdales","Bloomingdale's Fashion Valley, San Diego","7057 Friars Road","San Diego","CA","92108","MICHAEL SACCA","(619) 610-6400","10:00 AM","08:00 PM","10:00 AM","08:00 PM","10:00 AM","08:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","08:00 PM","NA","http://locations.bloomingdales.com/fashion-valley--san-diego"
"2","Bloomingdales","Bloomingdale's Outlet Liberty Place Outlet","1625 Chestnut St,Suite 240-248","Philadelphia","PA","19103","NA","(267) 858-3200","09:30 AM","08:00 PM","09:30 AM","08:00 PM","09:30 AM","08:00 PM","09:30 AM","08:00 PM","09:30 AM","08:00 PM","09:30 AM","08:00 PM","11:00 AM","06:00 PM","NA","http://locations.bloomingdales.com/liberty-place-outlet"
"3","Bloomingdales","Bloomingdale's Outlet Upper West Side Outlet","2085 Broadway","New York","NY","10023","NA","(212) 634-3190","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","08:00 PM","NA","http://locations.bloomingdales.com/upper-west-side-outlet"
"4","Bloomingdales","Bloomingdale's White Plains","175 Bloomingdale Road","White Plains","NY","10605","ARIF  BOYSAN","(914) 684-6300","10:00 AM","08:00 PM","10:00 AM","08:00 PM","10:00 AM","08:00 PM","10:00 AM","08:30 PM","10:00 AM","08:30 PM","10:00 AM","08:00 PM","11:00 AM","07:00 PM","NA","http://locations.bloomingdales.com/white-plains"
"5","Bloomingdales","Bloomingdale's Roosevelt Field Furniture","630 Old Country Road","Garden City","NY","11530","RICK RANGES","(516) 620-6400","10:00 AM","08:00 PM","10:00 AM","08:00 PM","10:00 AM","08:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","07:00 PM","NA","http://locations.bloomingdales.com/roosevelt-field-furniture"
"6","Bloomingdales","Bloomingdale's Roosevelt Field","630 Old Country Rd.","Garden City","NY","11530","RICK RANGES","(516) 873-2700","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","11:00 AM","08:00 PM","NA","http://locations.bloomingdales.com/roosevelt-field"
"7","Bloomingdales","Bloomingdale's 59th Street","1000 Third Avenue,59th Street and Lexington Avenue","New York","NY","10022","DOROTHY KIELY","(212) 705-2000","10:00 AM","08:30 PM","10:00 AM","08:30 PM","10:00 AM","08:30 PM","10:00 AM","08:30 PM","10:00 AM","10:00 PM","10:00 AM","10:00 PM","10:00 AM","09:00 PM","NA","http://locations.bloomingdales.com/59th-street"
"8","Bloomingdales","Bloomingdale's Outlet The Gallery at Westbury Plaza Outlet","1050 Old Country Road","Garden City","NY","11530","CHERYL RUSSO","(516) 743-4301","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","07:00 PM","NA","http://locations.bloomingdales.com/the-gallery-at-westbury-plaza-outlet"
"9","Bloomingdales","Bloomingdale's SoHo","504 Broadway","New York","NY","10012","MARY MCGREEVY","(212) 729-5900","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","08:00 PM","NA","http://locations.bloomingdales.com/soho"
"10","Bloomingdales","Bloomingdale's Huntington Walt Whitman","270 Walt Whitman Road","Huntington Station","NY","11746","MARIE FRISTACHI","(631) 425-6700","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","07:00 PM","NA","http://locations.bloomingdales.com/huntington-walt-whitman"
"11","Bloomingdales","Bloomingdale's Willowbrook","3 Willowbrook Blvd","Wayne","NJ","07470","SUSAN NUZZOLO","(973) 582-2400","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","07:00 PM","NA","http://locations.bloomingdales.com/willowbrook"
"12","Bloomingdales","Bloomingdale's Bridgewater Commons","410 Commons Way","Bridgewater","NJ","08807","JODI LACRITZ","(908) 762-2400","10:00 AM","08:00 PM","10:00 AM","08:00 PM","10:00 AM","08:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","07:00 PM","NA","http://locations.bloomingdales.com/bridgewater-commons"
